tmsid,station_call_sign,station_name,notes
114966,PTVLHHP,Pluto VH1 Love & Hip Hop,reported dead/generic guide data (issue #58)
114967,PTVRPDR,Pluto VH1 RuPaul's Drag Race,reported dead/generic guide data (issue #58)
114968,PTVDCCH,Pluto Dallas Cowboys Cheerleaders,reported dead/generic guide data (issue #58)
114969,PTVFORF,Pluto Forensic Files,reported dead/generic guide data (issue #58)
114981,PTVFRFC,Pluto Fear Factor,reported dead/generic guide data (issue #58)
114982,PTVLVRG,Pluto Leverage,reported dead/generic guide data (issue #58)
115018,PTVDOCW,Doctor Who Classic,reported dead/generic guide data (issue #58)
115019,PTVCCP,Comedy Central Pluto TV,reported dead/generic guide data (issue #58)
115020,PTVWILD,MTV Wild 'N Out,reported dead/generic guide data (issue #58)
115021,PTVTOSH,Tosh.0,reported dead/generic guide data (issue #58)
115063,PTVNFLC,Pluto NFL Channel,reported dead/generic guide data (issue #58)
115108,PTVSURF,Pluto TV Surf,reported dead/generic guide data (issue #58)
115148,PTVNKTV,Nick Pluto TV,reported dead/generic guide data (issue #58)
115151,PTVTWEN,Pluto TV Tween,reported dead/generic guide data (issue #58)
115453,PTVCOPS,Pluto COPS,reported dead/generic guide data (issue #58)
115455,PTVACTN,Pluto TV Action,reported dead/generic guide data (issue #58)
115489,PTVCARS,Pluto TV Cars,reported dead/generic guide data (issue #58)
115490,PTVHORR,Pluto TV Horror,reported dead/generic guide data (issue #58)
115491,PTVMOV,Pluto TV Movies,reported dead/generic guide data (issue #58)
115889,PTVAZR,The Amazing Race,reported dead/generic guide data (issue #58)
115890,PTVSURV,Survivor,reported dead/generic guide data (issue #58)
115892,P90210,90210,reported dead/generic guide data (issue #58)
115893,PTVCHRS,Pluto TV Christmas,reported dead/generic guide data (issue #58)
115894,PTVMIST,Pluto TV Mistletoe,reported dead/generic guide data (issue #58)
115987,PTVSTAR,Star Trek,reported dead/generic guide data (issue #58)
115994,PTVCSI,CSI,reported dead/generic guide data (issue #58)
116102,RVRYNWS,Revry News,reported dead/generic guide data (issue #58)
116355,PTVNARC,Narcos,reported dead/generic guide data (issue #58)
116646,SUPERTK,SuperTalk TV,reported dead/generic guide data (issue #58)
116709,XALPTCL,The Pet Collective,reported dead/generic guide data (issue #58)
116716,XALAMTK,America's Test Kitchen,reported dead/generic guide data (issue #58)
116725,XALXOFW,Xumo Free Westerns,reported dead/generic guide data (issue #58)
116726,XALODAM,Outdoor America,reported dead/generic guide data (issue #58)
116928,XPKLOLN,LOL Network,reported dead/generic guide data (issue #58)
117289,PTVCRIM,Pluto TV True Crime,reported dead/generic guide data (issue #58)
117292,PTVCHALL,The Challenge,reported dead/generic guide data (issue #58)
117293,PTVREAL,Pluto TV Reality,reported dead/generic guide data (issue #58)
117294,PTVIMPT,Impact Wrestling,reported dead/generic guide data (issue #58)
117296,PTVCRMO,Pluto TV Crime Movies,reported dead/generic guide data (issue #58)
117297,PTVAMTK,America's Test Kitchen,reported dead/generic guide data (issue #58)
117298,PTVPIRE,The Price Is Right: The Barker Era,reported dead/generic guide data (issue #58)
117790,XALASN,Adventure Sports Network,reported dead/generic guide data (issue #58)
117833,XALFAMF,Family Feud,reported dead/generic guide data (issue #58)
118083,XALWRD,WIRED,reported dead/generic guide data (issue #58)
118289,XALGQNT,GQ,reported dead/generic guide data (issue #58)
118290,XALVOGE,Vogue,reported dead/generic guide data (issue #58)
118292,XALAD,Architectural Digest,reported dead/generic guide data (issue #58)
118354,PTVMLB,MLB,reported dead/generic guide data (issue #58)
119047,VIZFAW,Fawesome,reported dead/generic guide data (issue #58)
119050,VIZFRFA,FilmRise Family,reported dead/generic guide data (issue #58)
119146,VIZRNOS,Real Nosey,reported dead/generic guide data (issue #58)
119151,VIZPW,PocketWatch,reported dead/generic guide data (issue #58)
119156,VIZPPTV,PeopleTV,reported dead/generic guide data (issue #58)
119225,VIZJFLG,Just For Laughs Gags,reported dead/generic guide data (issue #58)
119302,RTNTV,The Rotten Tomatoes Channel,reported dead/generic guide data (issue #58)
119647,FAWESME,Fawesome - Free Movies & TV,reported dead/generic guide data (issue #58)
